component,mean_ms,median_ms,p95_ms,max_ms,num_samples
cluster_selection,2.195,1.998,4.172,8.513,1692
clustering,0.050,0.048,0.075,2.138,1692
detector_display,3.145,3.084,3.936,9.090,3006
detector_image_decode,1.041,1.043,1.465,4.023,3006
detector_inference,27.867,23.391,60.972,71.596,3006
detector_postprocess_publish,0.416,0.350,0.644,202.546,3006
detector_preprocess,0.569,0.564,0.842,2.367,3006
fill_ratio_and_classification,0.055,0.051,0.095,0.945,1692
geometry_publish,1.895,1.830,4.602,5.821,1692
map_copy,0.359,0.364,0.532,1.893,1781
map_painting,3.393,3.239,8.145,13.223,1781
object_memory_update,12.000,9.978,31.914,54.135,1692
scan_lookup,0.041,0.040,0.061,0.737,1692
semantic_map_publish,1.563,1.533,2.444,5.444,1781
structural_filter,1.781,1.683,3.002,4.572,1692
support_geometry,0.055,0.049,0.100,1.088,1692
tf_transform,1.380,1.121,3.235,6.906,1692
total_detector_callback,33.037,28.677,66.938,227.200,3006
total_fusion_callback,20.020,17.534,47.313,73.291,1692
total_occupancy_map_callback,5.314,5.200,10.844,16.322,1781
wedge_filtering,0.144,0.148,0.220,1.098,1692
wedge_projection,0.034,0.033,0.045,0.896,1692
wedge_publish,0.389,0.355,0.717,1.236,1692
